N,CITY_NUM,GMAX,PC,PM
100000,300,100,0.9,0.1
x,y
1,2
7,51
25,0
78,75
10,55
39,44
13,30
25,43
28,46
71,24
58,52
42,63
39,2
3,90
93,63
60,40
14,45
18,64
26,88
5,35
85,83
4,33
91,76
38,87
49,56
11,84
99,26
66,90
62,28
46,9
46,38
18,20
67,91
7,22
25,14
66,33
46,96
90,31
30,5
75,14
57,22
87,85
85,40
51,29
58,23
50,29
68,64
7,37
75,56
34,97
24,56
91,3
17,63
100,28
44,51
8,95
99,69
11,85
20,9
2,16
37,43
37,56
75,29
17,34
14,74
22,68
7,37
61,98
26,30
99,12
74,70
18,6
90,16
79,61
58,95
83,23
1,44
86,12
30,49
51,88
79,19
86,84
24,85
49,12
49,56
65,31
11,27
65,89
25,0
14,45
78,46
80,63
70,22
12,29
81,78
16,18
98,98
54,18
56,50
50,71
19,7
54,33
3,90
26,59
7,8
10,84
33,37
16,76
49,27
69,36
64,44
92,62
20,8
4,48
36,12
75,86
19,8
35,83
61,70
46,24
13,72
93,20
26,87
92,33
66,32
97,53
83,37
15,75
14,2
91,31
70,65
80,91
38,0
65,2
81,78
88,86
4,76
3,33
89,87
23,41
49,100
31,35
82,79
31,93
52,2
68,49
32,8
5,21
21,24
74,71
19,36
89,29
53,61
46,53
45,51
38,44
66,32
53,32
92,4
83,52
86,69
68,92
38,58
9,10
4,48
42,63
93,6
68,34
93,35
33,95
10,41
35,98
44,80
54,90
91,75
13,0
96,67
39,2
97,82
81,6
55,6
80,34
84,39
16,76
29,47
96,81
58,37
44,93
49,13
87,41
86,83
27,3
32,95
64,73
57,80
83,52
77,88
47,53
45,9
75,86
76,44
100,72
3,18
29,4
97,82
73,40
90,88
35,40
72,11
36,55
20,81
13,43
8,52
75,28
48,98
39,30
52,89
100,42
95,80
58,38
45,37
96,52
38,58
40,74
59,24
7,66
84,10
40,16
40,31
69,50
68,92
79,47
42,63
8,38
92,76
2,2
89,44
13,43
73,26
30,63
66,4
70,8
92,62
32,65
14,30
94,50
98,11
39,45
1,15
91,61
34,96
1,30
100,42
33,23
4,33
61,41
19,79
73,98
23,12
40,46
99,27
65,32
74,55
50,72
40,3
65,17
82,36
73,69
11,99
62,85
92,18
44,22
70,7
70,51
89,59
6,50
15,90
62,13
98,98
5,20
82,64
24,27
7,8
33,23
13,29
50,43
33,37
37,0
57,22
54,90
0,43
29,48
9,24
30,63
48,41
60,40
13,88
24,100
71,37
79,76
cost
14094.6,
14190.2,
13973.6,
14140,
14163.4,
14223.2,
14082.2,
14100.9,
14043.7,
14078.8,
13993.8,
14215.1,
14099.6,
13981.6,
13952.8,
14044.5,
14103.1,
14225.7,
14131,
14252.9,
14186.1,
14127.6,
14015,
14093.8,
14200.3,
14197.2,
14249.2,
14053.6,
14189.8,
14146.1,
14167.7,
14108.7,
13896.7,
13941.9,
14058.6,
14180.5,
14146,
14086.6,
14098.4,
14027.6,
14073.1,
14186.1,
14113.7,
14127.4,
14227.3,
14149.4,
14094,
14154.2,
14074.1,
14174.7,
14095.1,
14273,
13857.4,
14177.3,
14197.8,
14039.1,
14070.2,
13893.5,
14003.1,
14163.1,
14040,
14231.9,
13900.4,
14228.9,
14112,
13981.3,
14130.6,
14293.4,
14075.9,
14205.1,
14039.2,
14288.3,
14106.5,
13999.4,
14198.2,
14023.6,
14256.2,
14187.6,
14195,
14036,
14230.8,
13940,
13607.1,
13982.3,
14082.8,
14231.7,
14103.1,
14123,
14070.1,
14059.7,
14051.1,
14112.9,
14156.9,
14085.2,
14082.4,
14104.2,
14005.9,
13893.8,
14102.9,
14118.2,

duration(ms)
10523404

min cost
13607.1

solution
199
114
2
63
277
221
27
259
111
217
206
134
89
270
110
279
50
294
19
299
207
101
45
177
7
190
187
32
182
184
213
6
34
186
212
25
225
197
272
141
185
201
142
232
210
68
145
196
131
75
176
228
66
125
153
286
148
230
130
164
119
80
152
42
30
92
12
163
264
256
95
284
116
156
146
175
112
51
298
255
84
144
1
48
268
143
72
159
73
67
260
44
46
113
78
290
93
167
133
223
11
271
102
295
3
278
209
126
9
180
155
250
262
222
181
117
258
0
297
289
247
105
10
249
281
282
288
173
266
137
24
170
172
120
23
169
192
70
38
253
239
178
40
238
154
106
237
127
74
26
77
246
231
88
90
241
287
245
160
107
13
233
251
189
85
158
257
15
124
128
53
204
79
59
171
269
236
168
83
108
214
22
118
138
96
121
161
205
276
47
5
226
147
219
81
227
94
104
240
123
115
215
129
43
179
224
61
261
109
37
235
4
33
132
203
211
202
296
86
103
69
62
234
39
135
122
14
35
274
252
183
195
87
165
55
254
31
28
71
291
166
97
265
99
193
29
8
200
208
20
263
293
140
82
36
229
56
174
151
267
100
136
243
18
273
218
242
65
54
139
58
198
98
16
52
64
17
191
244
76
57
41
248
285
188
220
149
21
292
275
280
283
150
162
60
194
216
49
157
91
