N,CITY_NUM,GMAX,PC,PM
2000,200,100,0.9,0.1
x,y
1,2
7,51
25,0
78,75
10,55
39,44
13,30
25,43
28,46
71,24
58,52
42,63
39,2
3,90
93,63
60,40
14,45
18,64
26,88
5,35
85,83
4,33
91,76
38,87
49,56
11,84
99,26
66,90
62,28
46,9
46,38
18,20
67,91
7,22
25,14
66,33
46,96
90,31
30,5
75,14
57,22
87,85
85,40
51,29
58,23
50,29
68,64
7,37
75,56
34,97
24,56
91,3
17,63
100,28
44,51
8,95
99,69
11,85
20,9
2,16
37,43
37,56
75,29
17,34
14,74
22,68
7,37
61,98
26,30
99,12
74,70
18,6
90,16
79,61
58,95
83,23
1,44
86,12
30,49
51,88
79,19
86,84
24,85
49,12
49,56
65,31
11,27
65,89
25,0
14,45
78,46
80,63
70,22
12,29
81,78
16,18
98,98
54,18
56,50
50,71
19,7
54,33
3,90
26,59
7,8
10,84
33,37
16,76
49,27
69,36
64,44
92,62
20,8
4,48
36,12
75,86
19,8
35,83
61,70
46,24
13,72
93,20
26,87
92,33
66,32
97,53
83,37
15,75
14,2
91,31
70,65
80,91
38,0
65,2
81,78
88,86
4,76
3,33
89,87
23,41
49,100
31,35
82,79
31,93
52,2
68,49
32,8
5,21
21,24
74,71
19,36
89,29
53,61
46,53
45,51
38,44
66,32
53,32
92,4
83,52
86,69
68,92
38,58
9,10
4,48
42,63
93,6
68,34
93,35
33,95
10,41
35,98
44,80
54,90
91,75
13,0
96,67
39,2
97,82
81,6
55,6
80,34
84,39
16,76
29,47
96,81
58,37
44,93
49,13
87,41
86,83
27,3
32,95
64,73
57,80
83,52
77,88
47,53
45,9
75,86
cost
9184.05,
9229.36,
9380.67,
9474.69,
9520.01,
9616.2,
9492.03,
9198.66,
9490.5,
9497.37,
9368.34,
9307.52,
9549.82,
9707.24,
9643.01,
9542.25,
9301.64,
9575.1,
9605.68,
9435.82,
9440.5,
9608.99,
9498.3,
9422.91,
9478.46,
9624.19,
9356.22,
9461.37,
9443.36,
9419.74,
9583.51,
9566.81,
9414.98,
9389.71,
9620.64,
9498.81,
9582.73,
9478.51,
9543.33,
9554.69,
9555.71,
9510.17,
9368.44,
9480.31,
9711.99,
9556.76,
9566.8,
9615.72,
9473.68,
9505.51,
9426.85,
9473.39,
9611.83,
9576.37,
9586.49,
9590.19,
9569.5,
9641.95,
9571.98,
9444.63,
9679.97,
9455.75,
9584.52,
9375.2,
9594.24,
9558.38,
9518.38,
9636.86,
9552.77,
9661.42,
9531.89,
9508.53,
9424.84,
9309.75,
9224.47,
9436.6,
9533.13,
9604.86,
9545.32,
9445.16,
9518.73,
9642.85,
9471.25,
9600.34,
9577.74,
9394.64,
9638.85,
9602.66,
9478.61,
9657.38,
9575.21,
9561.1,
9332.79,
9579.84,
9534.6,
9515.38,
9452.73,
9455.96,
9396.52,
9648.17,

duration(ms)
513817

min cost
9184.05

solution
91
131
27
175
193
24
90
13
18
162
16
157
198
119
2
43
57
60
111
154
0
55
130
126
39
144
25
143
197
46
45
186
74
80
30
28
153
135
183
17
61
172
109
158
199
92
6
123
65
107
195
40
44
70
122
178
146
71
88
148
167
102
15
101
97
85
68
156
21
62
194
5
139
37
67
161
11
164
113
48
10
56
115
181
50
118
64
99
105
104
8
141
145
142
171
120
137
38
93
103
3
4
84
1
165
184
127
19
106
124
100
76
82
149
26
29
168
14
7
94
174
73
9
66
59
33
147
12
180
22
52
128
121
42
86
163
182
63
34
189
188
47
81
155
83
31
79
125
96
98
75
132
114
196
95
54
112
77
176
152
190
173
140
36
108
116
177
35
129
72
166
185
170
49
192
117
160
159
150
87
78
169
179
136
58
191
151
134
110
23
69
89
187
32
41
138
133
20
51
53
