N,CITY_NUM,GMAX,PC,PM
2000,75,1000,0.9,0.1
x,y
1,2
7,51
25,0
78,75
10,55
39,44
13,30
25,43
28,46
71,24
58,52
42,63
39,2
3,90
93,63
60,40
14,45
18,64
26,88
5,35
85,83
4,33
91,76
38,87
49,56
11,84
99,26
66,90
62,28
46,9
46,38
18,20
67,91
7,22
25,14
66,33
46,96
90,31
30,5
75,14
57,22
87,85
85,40
51,29
58,23
50,29
68,64
7,37
75,56
34,97
24,56
91,3
17,63
100,28
44,51
8,95
99,69
11,85
20,9
2,16
37,43
37,56
75,29
17,34
14,74
22,68
7,37
61,98
26,30
99,12
74,70
18,6
90,16
79,61
58,95
cost
3344.66,
3265.27,
3317.68,
3300.02,
3333.52,
3335.19,
3225.35,
3261.71,
3348.95,
3406.09,
3361.94,
3288.15,
3264.18,
3345.58,
3224.68,
3207.4,
3269.36,
3331.2,
3280.33,
3397.37,
3351.95,
3304.43,
3180.53,
3388.54,
3292.89,
3318.57,
3287.71,
3344.39,
3379.4,
3270.9,
3315.88,
3255.09,
3333.13,
3290.51,
3305.05,
3231.25,
3202.68,
3264.49,
3219.98,
3314.5,
3367.98,
3225.78,
3324.65,
3321.91,
3200.51,
3246.8,
3268.15,
3315.93,
3138.49,
3240.27,
3311.49,
3390.2,
3419.96,
3266.04,
3349.12,
3301.39,
3313.97,
3256.52,
3272.39,
3373.39,
3445.62,
3210.01,
3384.09,
3175,
3327.08,
3240.3,
3283.46,
3318.31,
3313.48,
3363.3,
3299.26,
3373.61,
3289.2,
3270.86,
3319.13,
3367.72,
3324.63,
3243.73,
3345.56,
3284.98,
3370.56,
3359.52,
3308.19,
3272.9,
3353.7,
3213.88,
3195.17,
3381.31,
3382.68,
3215.59,
3313.62,
3316.72,
3320.23,
3273.66,
3383.04,
3241.31,
3379.87,
3384.2,
3330.91,
3269.1,
3367.45,
3443.7,
3330.9,
3390.52,
3340.06,
3225.27,
3393.84,
3356.17,
3383.46,
3265.36,
3312.57,
3348.65,
3288.84,
3266.66,
3269.73,
3327.84,
3336.43,
3275.85,
3351.25,
3309.89,
3266.08,
3385.75,
3346.36,
3381.27,
3155.42,
3287.73,
3347.24,
3274,
3350.39,
3262.1,
3349.07,
3268.6,
3191.84,
3273.11,
3353.78,
3226.96,
3284.3,
3346.16,
3323.56,
3359.47,
3349.37,
3388.38,
3331.51,
3331.15,
3256.02,
3281.7,
3256.06,
3345.53,
3320.87,
3250.32,
3264.58,
3359.95,
3359.44,
3308.17,
3314.35,
3335.11,
3329.39,
3365.62,
3296.75,
3233.59,
3243.07,
3320.92,
3382.7,
3392.04,
3382.51,
3399.41,
3303.63,
3235.56,
3357.36,
3319.79,
3331.78,
3316.51,
3373.08,
3335.54,
3277.99,
3357.7,
3335.04,
3272.84,
3382.62,
3265.99,
3270.44,
3259.97,
3334.6,
3279.49,
3384.89,
3254.38,
3282.32,
3315.22,
3397.98,
3444.22,
3387.2,
3294.53,
3272.23,
3353.53,
3362.34,
3428.68,
3278.52,
3290.53,
3383.73,
3325.77,
3326.33,
3428.41,
3218.72,
3264.68,
3340.54,
3360.81,
3267.61,
3341.57,
3415.28,
3342.15,
3287.18,
3214.43,
3242.28,
3278.95,
3276.85,
3321.3,
3296.66,
3326.76,
3155.9,
3233.33,
3374.38,
3282.2,
3335.65,
3345.53,
3296.77,
3192.93,
3336.53,
3331.74,
3388.1,
3284.74,
3347,
3337.33,
3317.97,
3249.07,
3383.47,
3264.72,
3405.79,
3373.46,
3345.49,
3259.31,
3305.23,
3229.63,
3375.13,
3373.53,
3309.14,
3279.96,
3400.94,
3344.91,
3407.72,
3298.62,
3249.51,
3375.83,
3263.44,
3262.41,
3337.96,
3318.5,
3359.23,
3398.4,
3327.75,
3297.87,
3296.93,
3340.08,
3303.19,
3322.53,
3304.25,
3270.21,
3239.26,
3367.77,
3317.6,
3299.71,
3255.93,
3318.18,
3219.87,
3364.86,
3238.65,
3272.22,
3376.94,
3318.84,
3318.74,
3390.3,
3312.54,
3347.79,
3293.62,
3322.93,
3340.66,
3330.28,
3202.2,
3262.96,
3361.96,
3426.59,
3436.69,
3294.21,
3332.61,
3355.28,
3218.01,
3171.11,
3341.84,
3297.88,
3288.77,
3167.35,
3123.29,
3249.01,
3312.5,
3366.89,
3227.24,
3365.04,
3348.54,
3281.99,
3263.02,
3382.3,
3246.29,
3367.69,
3299.15,
3327.7,
3325.65,
3231.88,
3256.85,
3237.95,
3311.44,
3147.85,
3295.7,
3278.6,
3299.79,
3302.81,
3277.51,
3355.7,
3320.56,
3313.54,
3269.87,
3320.3,
3385.12,
3356.07,
3327.65,
3335.48,
3376.92,
3272.98,
3341.42,
3264.27,
3378.96,
3261.96,
3263.96,
3351.64,
3313.06,
3357.76,
3286.43,
3223.41,
3365.85,
3354.93,
3408.41,
3279.83,
3393.42,
3370.98,
3337.69,
3305.43,
3207.58,
3367.84,
3406.53,
3359.4,
3339.55,
3275.89,
3318.17,
3354.9,
3405.3,
3322.31,
3235.73,
3357.51,
3298.92,
3349.21,
3367.91,
3381.22,
3356.38,
3252.16,
3332.07,
3335.82,
3297.67,
3147.68,
3366.43,
3315.56,
3278.84,
3336.87,
3377.21,
3317.07,
3399.58,
3419.74,
3252.47,
3274.92,
3391.56,
3320.92,
3302.92,
3214.25,
3222.4,
3357.65,
3398.53,
3351.77,
3331.68,
3432.6,
3357.86,
3327.79,
3356.09,
3304.91,
3297.05,
3312.78,
3310.91,
3303.79,
3319.81,
3026,
3371.51,
3392.37,
3396.03,
3391.57,
3272.08,
3362.47,
3221.01,
3325.6,
3294.34,
3343.48,
3327.11,
3369.93,
3331.57,
3359.73,
3348.82,
3321.02,
3359.42,
3298.98,
3328.99,
3338.58,
3387.77,
3384.7,
3279.07,
3307.37,
3263.43,
3407.24,
3342.91,
3410.84,
3337.48,
3326.36,
3293.08,
3297.96,
3252.47,
3241.57,
3231.28,
3327.2,
3381.48,
3362.88,
3326.49,
3256.36,
3064.7,
3335.8,
3295.61,
3378.63,
3242.69,
3285.94,
3407.89,
3381.2,
3378.67,
3234.03,
3320.15,
3288.96,
3287.32,
3383.94,
3324.65,
3257.11,
3247.07,
3313.45,
3338.43,
3236.95,
3191.8,
3246.48,
3295.28,
3330.51,
3335.15,
3255.62,
3292.7,
3307.25,
3256.49,
3191.37,
3258.98,
3205.5,
3298.95,
3228.63,
3276.39,
3348.54,
3379.47,
3398.53,
3248.79,
3350.27,
3335.53,
3267.7,
3333.3,
3448.69,
3275.24,
3387.4,
3392.12,
3296.77,
3304.65,
3311.03,
3302.78,
3188.43,
3210.11,
3280.21,
3275.69,
3294.33,
3315.27,
3367.69,
3323.78,
3332.27,
3271.51,
3267.63,
3360.63,
3176.71,
3320.91,
3328.18,
3324.01,
3301.17,
3286.44,
3363.94,
3386.18,
3252.79,
3279.77,
3406.02,
3370.69,
3206.17,
3316.73,
3393.04,
3356.82,
3316.84,
3250.49,
3288.76,
3238.69,
3363.9,
3414.94,
3258.66,
3368.82,
3233,
3357.39,
3340.06,
3428.51,
3256.48,
3318.81,
3222.78,
3280.7,
3310.62,
3228.31,
3321.35,
3271.97,
3193.77,
3390.29,
3260.57,
3280.01,
3248.44,
3285.25,
3302.4,
3318.02,
3408.48,
3332.24,
3180.11,
3330.86,
3322.26,
3379.09,
3271.58,
3309.25,
3271.54,
3315.37,
3339.36,
3291.46,
3288.08,
3370.4,
3266.93,
3253.16,
3283.08,
3198.21,
3181.2,
3250.09,
3419.4,
3261.14,
3315.54,
3214.22,
3310.43,
3350.49,
3302.63,
3293.51,
3406.07,
3413.76,
3260.13,
3251.17,
3346.91,
3213.32,
3414.05,
3369.63,
3366.13,
3311.84,
3327.04,
3364.21,
3383.89,
3324.11,
3336.49,
3342.5,
3352.16,
3310.52,
3327,
3314.36,
3274.22,
3237.07,
3251.46,
3135.5,
3247.21,
3329.82,
3350.5,
3219.45,
3296.84,
3372.1,
3350.13,
3367.19,
3354.87,
3212.28,
3396.62,
3306.97,
3226.83,
3394.52,
3274.35,
3354.73,
3331.42,
3309.77,
3345.62,
3336.64,
3151.37,
3245.63,
3288.9,
3307.05,
3226.48,
3293.61,
3307.43,
3290.61,
3388.44,
3311.06,
3439.2,
3284.25,
3355.89,
3303.56,
3385.15,
3407.96,
3187.07,
3356.91,
3262.15,
3377.64,
3351.03,
3278.37,
3307.71,
3367.06,
3196.93,
3367.59,
3247.14,
3320.04,
3321.05,
3339.52,
3301.41,
3370.68,
3310.94,
3364.84,
3372.59,
3273.88,
3373.29,
3386.19,
3310.26,
3371.18,
3322.82,
3280.03,
3306.92,
3297.67,
3337.73,
3285.12,
3334.41,
3356.41,
3372.19,
3325.43,
3294.02,
3385.08,
3426.1,
3351.32,
3265.84,
3284.58,
3296.5,
3303.66,
3305.01,
3322.87,
3316.85,
3312.72,
3397.06,
3380.54,
3166.37,
3331.38,
3359.63,
3352.2,
3245.39,
3372.17,
3256.44,
3324.47,
3279.71,
3321.1,
3248.48,
3405.76,
3259.07,
3115.2,
3392.7,
3241.23,
3348.43,
3233.36,
3133.71,
3362.44,
3148.59,
3186.31,
3386.63,
3228.08,
3312.66,
3315.14,
3298.26,
3278.57,
3406.99,
3292.41,
3386.28,
3351.12,
3396.64,
3287.65,
3262.42,
3188.89,
3360.65,
3372.88,
3387.61,
3338.66,
3340.58,
3316.84,
3356.59,
3287.96,
3252.79,
3335.1,
3314.04,
3336.01,
3223.07,
3395.19,
3384.77,
3348.15,
3256.86,
3324.86,
3299.58,
3330.37,
3236.38,
3346.27,
3266.44,
3202.11,
3201.89,
3364.42,
3307.49,
3366.24,
3319.11,
3383.92,
3296.2,
3323.7,
3260.35,
3392.79,
3362.41,
3213.75,
3236.78,
3340.15,
3349.2,
3316.13,
3326.16,
3272.7,
3312.71,
3392.47,
3335.21,
3326.63,
3313.98,
3336.79,
3312.21,
3443.7,
3382.28,
3234.06,
3221.6,
3367.04,
3345.5,
3335.19,
3296.45,
3257.95,
3239.93,
3356.26,
3344.39,
3344.73,
3249.8,
3397.44,
3251.16,
3330.32,
3355.07,
3347.71,
3246.56,
3301.04,
3349.61,
3247.51,
3318.07,
3405.71,
3380.04,
3275.52,
3321.14,
3382.88,
3280.63,
3370.63,
3320.84,
3286.18,
3277.62,
3328.38,
3265.52,
3300.09,
3345.37,
3336.39,
3392.5,
3240.31,
3247.46,
3379.1,
3200.85,
3292.13,
3287.79,
3378.11,
3344.56,
3303.52,
3246.15,
3220.77,
3225.51,
3310.52,
3319.89,
3216.18,
3280.74,
3335.69,
3311.53,
3215.93,
3227.4,
3252.15,
3256.22,
3274.15,
3298.64,
3364.5,
3331.54,
3348.71,
3242.18,
3307.75,
3284.96,
3381.13,
3332.65,
3279.91,
3301.65,
3287.16,
3321.93,
3181.53,
3382.46,
3362.94,
3313.42,
3376.49,
3331.72,
3237.56,
3393.7,
3345.28,
3328.75,
3296.38,
3284.51,
3359.64,
3412.68,
3339.74,
3155.58,
3395.8,
3282.88,
3358.57,
3223.48,
3383.39,
3232.93,
3320.44,
3367.33,
3321.63,
3338.6,
3324.11,
3389.69,
3396.21,
3296.97,
3234.4,
3170.72,
3326.64,
3379.24,
3301.72,
3341.12,
3266.43,
3333.31,
3323.85,
3331.16,
3301.69,
3370.84,
3186.71,
3292.57,
3353.42,
3390.94,
3268.27,
3326.75,
3312.21,
3382.45,
3128.08,
3333.49,
3270.96,
3354.58,
3358.22,
3439.91,
3403.99,
3306.43,
3318.08,
3207.84,
3239.22,
3344.21,
3351.5,
3216.26,
3386.33,
3364.83,
3301.73,
3220.29,
3285.9,
3224,
3419.97,
3370.44,
3346.07,
3413.16,
3342.96,
3340.27,
3322.24,
3309.5,
3351.11,
3279.53,
3366.39,
3320.99,
3344.7,
3363.73,
3370.32,
3264.16,
3363.54,
3277.91,
3349.41,
3382.26,
3241.85,
3239.22,
3371.11,
3430.35,
3306.33,
3238.04,
3324.47,
3339.67,
3348.36,
3216.28,
3282.25,
3192.4,
3293.05,
3235.38,
3233.55,
3338.31,
3337.35,
3321.73,
3299.81,
3312.68,
3324.06,
3282.81,
3232.9,
3406,
3258.34,
3371.15,
3397.55,
3294.4,
3320.36,
3271.28,
3295.54,
3338.01,
3264.86,
3213.3,
3299.52,
3293.03,
3274.18,
3390.5,
3340.24,
3214,
3409.77,
3290.96,
3381.72,
3235.6,
3252.11,
3395.41,
3335.3,
3197.12,
3345.25,
3345.59,
3113.2,
3259.89,
3193.43,
3325.88,
3380.12,
3347.82,
3341.47,
3237.24,
3360.76,
3149.7,

duration(ms)
2064943

min cost
3026

solution
24
54
35
27
57
23
8
6
19
50
61
20
72
51
29
36
49
13
17
16
22
48
14
56
73
18
3
52
64
66
58
47
10
45
65
5
31
37
1
38
46
11
34
40
25
26
67
60
7
42
41
32
4
63
33
12
30
2
39
69
53
0
44
43
28
71
59
21
68
55
70
74
15
9
62
